employee_id,job_level,department,start_date,survey_date,tenure_years,comment,_ground_truth_sentiment,_ground_truth_theme
EMP0001,IC1,Product,4/18/23,11/1/24,1.5,My manager is a genuine advocate for my development. She proactively nominated me for a high-visibility project and the growth has been real.,positive,management_leadership+growth_development
EMP0002,IC2,Legal,1/12/21,11/1/24,3.8,"My manager is fine and my comp is competitive, but I'm not inspired by the direction. Neither strongly positive nor negative, honestly.",neutral,management_leadership+compensation_benefits
EMP0003,IC1,Marketing,9/9/21,11/1/24,3.1,Leadership has been transparent about the challenges we're facing and I appreciate the honesty.,positive,management_leadership
EMP0004,M3,Marketing,1/31/18,11/1/24,6.8,We have strong rituals for alignment and rarely duplicate work or step on each other.,positive,team_collaboration
EMP0005,IC5,People & HR,12/29/21,11/1/24,2.8,This is the most inclusive team I've been on. I feel like I can bring my whole self to work.,positive,culture_inclusion
EMP0006,IC2,Finance,5/1/22,11/1/24,2.5,The culture has shifted noticeably since the last round of layoffs. Trust is low.,negative,culture_inclusion
EMP0007,IC2,Customer Success,3/22/22,11/1/24,2.6,There's a clear leveling framework and I always know what I need to demonstrate to advance.,positive,growth_development
EMP0008,IC4,People & HR,5/30/19,11/1/24,5.4,The flexible work policy is a genuine differentiator. I can structure my day around my life.,positive,work_life_balance
EMP0009,IC2,Marketing,3/19/22,11/1/24,2.6,I've never felt pressure to answer messages outside of work hours. The team respects boundaries.,positive,work_life_balance
EMP0010,M1,People & HR,3/13/21,11/1/24,3.6,"The pace here doesn't allow time for learning. Everything is execution, always.",negative,growth_development
EMP0011,IC3,Product,11/9/20,11/1/24,4,Poor cross-team coordination means everything is a fire drill. The constant urgency is exhausting.,negative,team_collaboration+work_life_balance
EMP0012,IC4,Sales,7/9/19,11/1/24,5.3,"The company walks the walk on DEI — it shows up in hiring, promotions, and how leaders behave.",positive,culture_inclusion
EMP0013,M1,Engineering,2/15/20,11/1/24,4.7,I have a lot of trust in the direction leadership is taking. Decisions feel thoughtful rather than reactive.,positive,management_leadership
EMP0014,IC4,People & HR,9/7/19,11/1/24,5.2,I've grown in my role but I'm starting to wonder if there's a ceiling.,neutral,growth_development
EMP0015,IC5,Design,1/31/22,11/1/24,2.8,Async-first culture means I can do deep work without constant interruptions.,positive,work_life_balance
EMP0016,M2,Finance,11/7/19,11/1/24,5,Leadership has been transparent about the challenges we're facing and I appreciate the honesty.,positive,management_leadership
EMP0017,IC1,Product,3/22/24,11/1/24,0.6,"The pay is fair and the culture backs it up — I feel valued in concrete ways, not just in words.",positive,compensation_benefits+culture_inclusion
EMP0018,M2,Product,9/28/19,11/1/24,5.1,"PTO exists in theory, but the actual workload makes it impossible to disconnect.",negative,work_life_balance
EMP0019,IC2,Engineering,7/9/20,11/1/24,4.3,There are no real mentorship opportunities here. You're expected to figure it out on your own.,negative,growth_development
EMP0020,IC5,Product,6/5/20,11/1/24,4.4,I learn so much just from working alongside my teammates. The collaboration here accelerates my development in a way that's hard to quantify.,positive,team_collaboration+growth_development
EMP0021,IC3,Legal,1/2/21,11/1/24,3.8,I've raised concerns about my workload three times and nothing has changed.,negative,work_life_balance
EMP0022,IC4,Legal,7/2/22,11/1/24,2.3,Leadership actively role-models the values they espouse. That consistency builds real trust over time.,positive,management_leadership+culture_inclusion
EMP0023,M1,Engineering,8/20/19,11/1/24,5.2,I've never felt pressure to answer messages outside of work hours. The team respects boundaries.,positive,work_life_balance
EMP0024,IC4,Engineering,3/6/20,11/1/24,4.7,Poor cross-team coordination means everything is a fire drill. The constant urgency is exhausting.,negative,team_collaboration+work_life_balance
EMP0025,IC3,Product,2/18/23,11/1/24,1.7,Collaboration is performative. People nod in meetings and then do whatever they planned anyway.,negative,team_collaboration
EMP0026,M2,Legal,9/10/20,11/1/24,4.1,The leveling framework is inconsistently applied and it seems more about politics than performance.,negative,growth_development
EMP0027,M2,Sales,2/11/18,11/1/24,6.7,Direction changes constantly with no explanation. It's impossible to prioritize anything.,negative,management_leadership
EMP0028,IC4,Product,2/5/22,11/1/24,2.7,Leadership actively role-models the values they espouse. That consistency builds real trust over time.,positive,management_leadership+culture_inclusion
EMP0029,IC4,Marketing,4/27/23,11/1/24,1.5,My team is genuinely one of the most collaborative and supportive I've ever worked with.,positive,team_collaboration
EMP0030,M1,Engineering,12/22/21,11/1/24,2.9,The pay process is completely opaque. I have no idea how decisions get made.,negative,compensation_benefits
EMP0031,IC3,Legal,8/25/20,11/1/24,4.2,Raises exist but they're modest. Meaningful jumps only seem to happen with a promotion.,neutral,compensation_benefits
EMP0032,IC2,Marketing,10/20/23,11/1/24,1,My comp hasn't kept up with inflation and conversations about it go nowhere.,negative,compensation_benefits
EMP0033,IC2,Engineering,1/2/24,11/1/24,0.8,There's a stated commitment to inclusion but I haven't seen it translate into structural changes.,neutral,culture_inclusion
EMP0034,IC4,Marketing,5/8/20,11/1/24,4.5,The policy is good on paper but individual managers enforce it very differently.,neutral,work_life_balance
EMP0035,IC2,Marketing,11/10/21,11/1/24,3,There's a persistent pattern of underrepresented employees leaving and leadership doesn't address it.,negative,culture_inclusion
EMP0036,IC1,Legal,4/24/24,11/1/24,0.5,There's internal competition rather than cooperation. It doesn't serve us well.,negative,team_collaboration
EMP0037,M3,Customer Success,3/10/20,11/1/24,4.6,There's internal competition rather than cooperation. It doesn't serve us well.,negative,team_collaboration
EMP0038,M2,Engineering,5/23/20,11/1/24,4.4,Staffing shortages mean the remaining team is spread impossibly thin. Burnout is rampant.,negative,work_life_balance
EMP0039,M3,Legal,7/8/20,11/1/24,4.3,Psychological safety is high on my team. We have real debates and nobody shuts people down.,positive,culture_inclusion
EMP0040,IC1,Legal,1/29/23,11/1/24,1.8,My manager gives me autonomy while still being available when I need support. That balance is hard to find.,positive,management_leadership
EMP0041,IC1,Design,12/27/21,11/1/24,2.8,Leadership actively role-models the values they espouse. That consistency builds real trust over time.,positive,management_leadership+culture_inclusion
EMP0042,IC4,Product,2/4/21,11/1/24,3.7,People here celebrate each other's wins publicly and often. It creates real positive energy.,positive,team_collaboration
EMP0043,IC2,Engineering,12/29/21,11/1/24,2.8,I'm regularly pinged after 9pm by leadership and there's an implied expectation to respond immediately.,negative,work_life_balance
EMP0044,M1,Marketing,1/13/21,11/1/24,3.8,I learn so much just from working alongside my teammates. The collaboration here accelerates my development in a way that's hard to quantify.,positive,team_collaboration+growth_development
EMP0045,M1,Customer Success,12/19/21,11/1/24,2.9,My manager is one of the best I've had — always clear on expectations and genuinely invested in my growth.,positive,management_leadership
EMP0046,IC4,Product,7/9/20,11/1/24,4.3,"The company walks the walk on DEI — it shows up in hiring, promotions, and how leaders behave.",positive,culture_inclusion
EMP0047,IC5,People & HR,12/24/21,11/1/24,2.9,Work-life balance depends entirely on your team and what quarter it is. Officially it's fine.,neutral,work_life_balance
EMP0048,IC5,Legal,2/23/19,11/1/24,5.7,The flexible work policy is a genuine differentiator. I can structure my day around my life.,positive,work_life_balance
EMP0049,IC3,Product,4/29/22,11/1/24,2.5,I've never felt pressure to answer messages outside of work hours. The team respects boundaries.,positive,work_life_balance
EMP0050,M3,Sales,12/24/19,11/1/24,4.9,The culture has shifted noticeably since the last round of layoffs. Trust is low.,negative,culture_inclusion
EMP0051,IC5,Finance,8/14/22,11/1/24,2.2,"I get to work on hard, novel problems every week. My skills are growing faster here than anywhere else.",positive,growth_development
EMP0052,M3,Design,4/18/18,11/1/24,6.5,There's a persistent pattern of underrepresented employees leaving and leadership doesn't address it.,negative,culture_inclusion
EMP0053,IC1,Design,10/7/22,11/1/24,2.1,"My manager is fine and my comp is competitive, but I'm not inspired by the direction. Neither strongly positive nor negative, honestly.",neutral,management_leadership+compensation_benefits
EMP0054,IC5,Engineering,10/27/20,11/1/24,4,Certain voices consistently dominate meetings and leadership hasn't done anything about it.,negative,culture_inclusion
EMP0055,IC4,Marketing,8/15/19,11/1/24,5.2,The 401k match and financial wellness perks are a real differentiator.,positive,compensation_benefits
EMP0056,IC4,Design,6/13/22,11/1/24,2.4,I discovered I'm paid significantly less than peers doing the same work. That's been demoralizing.,negative,compensation_benefits
EMP0057,M1,Design,1/24/20,11/1/24,4.8,Collaboration is performative. People nod in meetings and then do whatever they planned anyway.,negative,team_collaboration
EMP0058,IC2,Design,3/14/22,11/1/24,2.6,Cross-team prioritization is a constant struggle. Nobody wants to deprioritize their own roadmap.,negative,team_collaboration
EMP0059,M1,Customer Success,8/29/20,11/1/24,4.2,There's a real problem with silos. Teams hoard information and don't communicate until it's too late.,negative,team_collaboration
EMP0060,M2,Marketing,1/15/20,11/1/24,4.8,I learn so much just from working alongside my teammates. The collaboration here accelerates my development in a way that's hard to quantify.,positive,team_collaboration+growth_development
